name_site,y,x,num_biblio,group_site,notes
Shishaiteb,21.981666666666666,36.045833333333334,6.1.1,The Red Sea Hills,id. Shishutaib
Shishaiteb-South,21.980555555555554,33.05083333333333,6.1.2,The Red Sea Hills,
Oyo,21.933333333333334,36.12694444444445,6.1.3,The Red Sea Hills,
Mikraff-1,21.907777777777778,36.10472222222222,6.1.4,The Red Sea Hills,20th century mine
Mikraff-2,21.91,36.10166666666667,6.1.4,The Red Sea Hills,Arab wadiworking settlement
Hangul,21.299166666666668,36.48111111111111,6.1.5,The Red Sea Hills,
Ohaff,21.09861111111111,36.3775,6.1.6,The Red Sea Hills,
Gebeit-1,21.05027777777778,36.31666666666667,6.1.7,The Red Sea Hills,Bishop's house
Gebeit-2,21.075,36.336111111111116,6.1.7,The Red Sea Hills,"Eastern New Kingdom settlement, wadi centre"
Gebeit-3,21.064444444444444,36.316111111111105,6.1.7,The Red Sea Hills,Early Arab settlement
Gabatilo,20.5275,36.21194444444445,6.1.8,The Red Sea Hills,
Nafirdeib,20.50888888888889,36.41361111111111,6.1.9,The Red Sea Hills,id. Lakobdog
Rigag Sageib,20.195,36.02722222222222,6.1.10,The Red Sea Hills,"id. Rigag Hindeb, Ragaghundab"
Shikryai,20.012777777777778,35.64944444444444,6.1.11,The Red Sea Hills,id. Serakoit
Romi,19.742222222222225,36.55083333333333,6.1.12,The Red Sea Hills,
Sheiteb,19.738611111111112,36.52361111111111,6.1.13,The Red Sea Hills,
Shanobwan 1,19.715833333333332,36.568333333333335,6.1.14,The Red Sea Hills,
Shanobwan 2,19.715833333333332,36.550555555555555,6.1.15,The Red Sea Hills,
Selobit 1,19.663888888888888,36.62388888888889,6.1.16,The Red Sea Hills,
Selobit 2,19.658055555555553,36.61972222222222,6.1.17,The Red Sea Hills,
Miradaab,19.654722222222222,36.62166666666667,6.1.18,The Red Sea Hills,
Abidoibid,19.62638888888889,36.60444444444445,6.1.20,The Red Sea Hills,
Romeib,19.622222222222224,36.49027777777778,6.1.21,The Red Sea Hills,
